Week,Date,Topic,Assigned,Due,Reading
"1","Aug 25 Tue","Introduction","","","1-2"
"","Aug 27 Thu","Processes and Processors","HW1","","3-11"
"2","Sep 01 Tue","","","",""
"","Sep 03 Thu","","","",""
"3","Sep 08 Tue","","","",""
"","Sep 10 Thu","","HW2","HW1",""
"4","Sep 15 Tue","","","",""
"","Sep 17 Thu","","","",""
"5","Sep 22 Tue","Memory","HW3","HW2","12-24"
"","Sep 24 Thu","","","",""
"6","Sep 29 Tue","","","",""
"","Oct 01 Thu","","","",""
"7","Oct 06 Tue","Concurrency","","","25-34"
"","Oct 08 Thu","","","",""
"8","Oct 13 Tue","","","",""
"","Oct 15 Thu","","","HW3",""
"9","Oct 20 Tue","Exam","","",""
"","Oct 22 Thu","","HW4","",""
"10","Oct 27 Tue","","","",""
"","Oct 29 Thu","","","",""
"11","Nov 03 Tue","","","",""
"","Nov 05 Thu","","","",""
"12","Nov 10 Tue","Input/Output Devices","","","35-42"
"","Nov 12 Thu","","HW5","HW4",""
"13","Nov 17 Tue","","","",""
"","Nov 19 Thu","","","",""
"14","Nov 24 Tue","Thanksgiving","","",""
"","Nov 26 Thu","Thanksgiving","","",""
"15","Dec 01 Tue","","","",""
"","Dec 03 Thu","","","HW5",""
"16","Dec 08 Tue","","","",""
"","Dec 10 Thu","","","",""
"17","Dec 15 Tue","","","",""
"","Dec 17 Thu","Final: 12:00-2:00","","",""
